generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,224.98,400,27,2.5,3,25,3.0,87.0,3.0,87.0,0,10,6435.9,7972.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,244.76,406,29,1.6,4,16,3.02,86.68,3.0,86.8,0,5,7300.4,7972.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,242.14,459,34,2.0,3,20,3.12,86.44,3.0,86.9,0,5,9310.74,7972.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,239.64,456,52,2.2,4,22,3.0,86.08,3.0,86.6,0,7,21543.1,9511.07,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,231.08,428,42,2.9,4,29,3.0,85.2,3.0,86.5,0,9,21543.1,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,242.7,582,52,3.1,5,31,3.0,83.42,3.2,86.0,0,7,21543.1,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,249.32,600,45,2.1,4,21,3.0,81.62,3.0,85.8,2,2,21543.1,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,269.1,600,69,2.6,3,26,3.0,78.72,3.1,86.1,3,5,25003.37,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,248.24,600,60,2.7,4,27,3.02,76.74,3.0,85.7,1,4,25003.37,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,284.6,600,90,2.7,5,27,3.04,75.36,3.0,85.5,2,5,27834.71,10118.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
11,245.8,600,67,2.6,4,26,3.04,73.38,3.0,83.9,1,4,27834.71,10445.2,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
12,240.88,600,75,2.9,4,29,3.0,71.7,3.0,83.5,1,6,33240.68,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
13,263.56,600,91,2.9,5,29,3.04,71.12,3.1,81.2,4,6,33240.68,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
14,291.1,600,103,2.5,5,25,3.0,69.68,3.0,80.5,5,4,38671.16,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
15,251.56,600,64,2.7,6,27,3.02,68.64,3.0,81.3,3,4,38671.16,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
16,273.76,600,110,3.0,5,30,3.26,67.14,3.0,80.8,2,5,38671.16,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
17,287.52,600,152,2.7,4,27,3.3,63.58,3.0,80.1,8,4,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
18,311.14,600,156,2.9,4,29,3.38,62.3,3.0,79.5,8,8,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
19,319.08,600,169,2.9,4,29,3.16,61.6,3.0,78.8,10,5,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
20,267.74,600,130,3.8,5,38,3.16,60.72,3.0,79.0,3,9,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
21,275.5,600,116,3.1,5,31,3.2,57.12,3.1,79.1,2,7,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
22,280.3,600,108,2.5,4,25,3.08,55.72,3.0,78.6,2,7,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
23,279.18,600,112,2.7,5,27,3.0,53.7,3.0,78.8,4,5,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
24,343.02,600,196,2.4,5,24,3.02,50.42,3.0,78.5,10,5,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
25,326.76,600,199,2.4,5,24,3.22,48.4,3.0,79.0,9,5,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
26,309.84,600,177,2.6,4,26,3.02,45.44,3.1,78.8,10,4,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
27,259.8,600,113,3.1,5,31,3.02,43.7,3.0,78.6,2,8,56055.05,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
28,315.62,600,168,3.0,5,30,3.22,41.3,3.0,77.8,7,7,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
29,235.92,600,134,3.6,5,36,3.4,38.92,3.0,76.7,1,7,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
30,305.86,600,168,3.1,5,31,3.9,37.3,3.1,76.4,4,8,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
31,299.16,600,192,3.1,5,31,4.1,35.64,3.0,75.3,6,8,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
32,314.86,600,213,3.0,4,30,4.44,35.18,3.0,74.5,9,7,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
33,314.38,600,198,4.1,5,41,4.74,34.82,3.0,75.3,7,10,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
34,329.14,600,254,2.9,5,29,4.64,34.18,3.0,75.0,14,5,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
35,321.72,600,224,3.1,5,31,4.94,33.2,3.1,74.9,9,8,56404.59,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
36,287.72,600,187,2.7,4,27,4.86,32.16,3.0,74.3,7,4,62623.03,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
37,327.78,600,210,3.4,5,34,4.72,31.16,3.0,74.1,3,9,62623.03,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
38,337.3,600,212,3.5,6,35,4.76,30.7,3.0,73.9,10,7,62623.03,16895.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
39,307.56,600,239,3.2,4,32,5.08,30.78,3.0,73.8,9,7,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
40,311.02,600,217,3.2,5,32,4.98,29.5,3.0,72.3,6,7,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
41,333.66,600,227,2.9,5,29,5.04,28.38,3.0,72.7,10,8,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
42,311.16,600,220,2.8,4,28,4.98,26.74,3.1,71.4,11,6,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
43,359.28,600,267,3.0,4,30,4.9,25.56,3.0,72.4,11,9,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
44,321.94,600,202,3.2,6,32,4.74,24.02,3.0,73.4,4,7,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
45,349.42,600,225,2.6,4,26,4.96,22.98,3.0,73.2,6,9,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
46,339.66,600,240,2.8,4,28,4.92,22.86,3.0,73.3,12,7,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
47,303.44,600,183,3.8,5,38,4.96,22.46,3.0,73.9,4,10,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
48,355.66,600,253,3.1,5,31,5.1,21.76,3.0,73.7,12,7,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
49,292.64,600,200,3.4,6,34,5.16,21.54,3.0,72.8,5,8,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
50,320.66,600,215,3.6,5,36,5.12,20.92,3.0,71.6,6,10,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
51,271.7,600,177,3.6,5,36,5.0,20.36,3.0,68.9,4,6,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
52,316.44,600,218,3.4,6,34,4.98,19.98,3.1,67.8,7,6,62623.03,18531.4,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
53,337.7,600,232,2.9,5,29,5.18,20.16,3.4,65.8,10,8,62623.03,20515.09,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
54,284.06,600,202,3.6,5,36,5.26,20.04,3.0,65.9,6,9,62623.03,20515.09,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
