generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,235.72,600,29,2.3,3,23,3.0,87.0,3.0,87.0,1,1,14315.84,3793.34,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,223.28,387,30,2.3,3,23,3.0,86.5,3.0,86.7,0,10,14315.84,6712.0,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,254.68,565,35,2.4,4,24,3.06,85.54,3.0,85.5,0,4,22176.95,7133.27,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,260.5,600,71,2.4,4,24,3.04,83.12,3.1,84.6,2,3,41005.97,7133.27,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,295.28,600,95,1.9,4,19,3.12,80.94,3.0,84.0,3,4,43169.23,9031.39,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,281.14,600,101,2.6,5,26,3.02,80.38,3.0,83.4,6,4,43169.23,9031.39,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,259.48,600,82,2.6,4,26,3.02,76.86,3.0,81.9,1,6,43169.23,9162.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,266.0,600,86,1.9,3,19,3.02,75.88,3.1,79.7,3,4,43169.23,10024.01,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,304.4,600,142,3.0,5,30,3.18,71.76,3.0,78.4,3,8,43169.23,10024.01,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,333.42,600,198,3.0,4,30,3.12,69.06,3.0,78.4,12,6,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
11,305.84,600,154,2.8,4,28,3.12,65.74,3.0,79.0,7,6,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
12,313.14,600,172,2.4,5,24,3.36,65.0,3.0,78.3,9,4,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
13,300.92,600,156,2.2,4,22,3.02,62.6,3.1,78.4,6,4,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
14,343.82,600,210,2.2,4,22,3.04,62.32,3.0,78.8,12,4,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
15,348.4,600,248,2.5,4,25,3.04,59.32,3.0,78.4,11,6,50763.2,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
16,343.94,600,241,2.4,4,24,3.04,58.86,3.1,78.0,13,3,54395.46,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
17,319.34,600,225,3.2,4,32,3.0,57.26,3.0,77.6,8,8,54395.46,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
18,348.46,600,266,3.0,4,30,3.02,55.46,3.0,78.7,15,8,61788.18,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
19,362.9,600,241,2.0,4,20,3.02,53.74,3.0,78.7,15,3,61788.18,13938.56,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
20,306.02,600,229,3.6,5,36,3.02,52.48,3.0,79.0,7,8,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
21,324.9,600,247,3.3,5,33,3.0,51.16,3.0,78.9,7,8,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
22,340.38,600,249,2.9,6,29,3.0,50.02,3.0,78.1,13,6,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
23,347.14,600,255,3.1,4,31,3.04,49.9,3.0,78.1,16,7,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
24,363.9,600,258,2.5,5,25,3.02,46.64,3.0,78.5,14,6,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
25,376.04,600,272,3.1,4,31,3.02,44.14,3.1,78.8,16,8,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
26,325.86,600,258,2.9,4,29,3.0,41.08,3.0,78.8,13,6,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
27,312.72,600,239,3.0,5,30,3.0,39.6,3.0,78.8,9,5,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
28,316.96,600,258,3.3,5,33,3.06,38.46,3.0,78.5,8,7,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
29,366.86,600,251,2.3,4,23,3.38,37.32,3.0,78.8,16,4,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
30,358.38,600,262,2.7,5,27,3.28,36.16,3.0,77.7,14,5,61788.18,14553.68,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
31,367.1,600,275,2.6,4,26,3.28,34.88,3.0,77.7,16,6,61788.18,16862.39,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
32,367.26,600,254,2.2,4,22,3.42,34.34,3.0,76.7,19,5,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
33,360.56,600,268,2.3,4,23,3.82,34.22,3.0,77.8,17,4,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
34,363.44,600,252,3.0,4,30,3.64,32.44,3.2,77.9,11,7,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
35,301.38,600,229,3.4,5,34,4.04,32.62,3.0,76.2,9,8,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
36,372.72,600,267,3.2,5,32,4.08,31.14,3.0,75.6,12,9,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
37,313.96,600,222,3.5,5,35,3.72,29.76,3.0,75.8,7,9,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
38,338.28,600,257,3.2,5,32,3.64,27.82,3.1,75.6,13,8,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
39,356.54,600,243,3.2,5,32,3.42,24.92,3.0,76.2,11,9,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
40,377.98,600,259,2.7,5,27,3.24,23.56,3.0,76.7,14,5,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
41,315.9,600,199,3.4,5,34,3.08,22.18,3.0,76.5,7,9,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
42,335.52,600,259,2.9,4,29,3.02,21.18,3.0,76.2,14,6,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
43,379.54,600,269,2.7,4,27,3.0,20.92,3.0,76.1,17,6,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
44,359.44,600,264,3.2,5,32,3.04,20.36,3.0,75.0,13,7,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
45,344.06,600,228,2.7,5,27,3.1,19.96,3.0,73.7,11,4,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
46,370.34,600,273,2.7,4,27,3.06,19.78,3.1,73.0,15,6,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
47,382.66,600,253,2.8,5,28,3.02,18.52,3.4,72.1,16,7,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
48,374.08,600,261,2.6,4,26,3.1,17.78,3.3,72.0,15,7,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
49,368.9,600,268,2.5,5,25,3.04,16.6,3.5,72.7,19,4,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
50,328.76,600,237,2.4,3,24,3.04,16.14,3.7,72.8,12,5,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
51,394.84,600,270,2.3,5,23,3.04,16.14,3.7,72.1,20,4,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
52,370.94,600,272,2.9,5,29,3.12,15.66,4.0,73.3,15,6,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
53,348.02,600,227,3.0,5,30,3.02,14.22,3.9,73.9,12,6,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
54,386.04,600,271,2.5,6,25,3.02,13.58,4.0,73.8,18,4,61788.18,17081.49,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
55,343.66,600,251,2.9,5,29,3.02,13.48,4.1,74.1,13,6,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
56,343.2,600,242,2.8,5,28,3.0,12.94,4.9,74.0,11,6,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
57,368.66,600,265,1.9,3,19,3.0,12.42,4.4,74.0,19,1,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
58,355.02,600,261,2.6,5,26,3.02,11.8,4.5,73.8,16,5,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
59,402.86,600,265,2.0,3,20,3.02,11.0,5.0,73.0,21,4,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
60,343.1,600,239,1.9,3,19,3.0,10.98,5.0,72.8,16,1,61788.18,17970.6,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
