generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
82,150.14,360,55,1.88,3,47,3.04,7.76,3.12,42.72,0,25
83,136.96,337,40,1.88,4,47,3.22,8.12,3.0,41.36,0,25
84,162.16,348,38,1.72,3,43,3.24,7.82,3.0,40.32,0,25
85,122.46,293,34,2.0,3,50,3.18,7.7,3.04,40.04,0,25
86,159.36,285,34,1.72,3,43,3.18,7.24,3.0,38.76,0,25
87,188.18,377,42,1.8,4,45,3.36,7.18,3.04,37.72,0,25
88,144.1,340,49,1.96,4,49,3.38,6.82,3.4,37.04,0,25
89,134.02,321,49,1.96,3,49,3.42,6.9,3.36,35.96,0,25
90,125.32,293,66,2.0,3,50,3.2,6.74,3.04,34.56,0,25
91,121.36,266,39,1.96,3,49,3.06,6.74,3.08,34.08,0,25
92,147.52,305,33,1.92,3,48,3.06,6.76,3.0,32.88,0,25
93,156.84,267,15,1.76,3,44,3.02,7.02,3.0,32.08,0,25
94,168.5,407,51,1.76,4,44,3.0,6.98,3.0,31.52,0,25
95,108.24,281,48,1.96,3,49,3.02,6.7,3.04,30.16,0,25
96,147.92,363,60,1.96,3,49,3.18,6.32,3.04,29.64,0,25
97,180.2,397,77,1.92,4,48,3.06,5.96,3.24,28.92,0,25
98,151.88,357,32,1.76,3,44,3.02,5.44,3.04,28.08,0,25
99,153.22,345,58,1.96,4,49,3.0,5.5,3.08,27.04,0,25
100,180.4,355,29,1.44,3,36,3.0,5.0,3.0,27.16,0,25
101,140.16,292,46,1.8,3,45,3.0,4.72,3.08,26.6,0,25
102,137.24,271,38,1.72,3,43,3.0,4.56,3.08,25.92,0,25
103,134.98,262,33,2.0,3,50,3.04,4.84,3.04,25.84,0,25
104,120.7,325,34,2.0,4,50,3.0,4.38,3.04,26.08,0,25
105,145.36,369,26,1.96,3,49,3.0,4.62,3.04,25.28,0,25
106,151.24,284,30,1.88,3,47,3.0,5.02,3.0,25.0,0,25
107,148.12,307,40,1.8,3,45,3.0,4.88,3.04,23.96,0,25
108,128.92,413,46,2.0,3,50,3.04,5.38,3.0,23.44,0,25
109,101.24,333,34,1.96,3,49,3.02,4.84,3.0,23.32,0,25
110,130.66,305,50,2.0,3,50,3.04,5.02,3.0,22.44,0,25
111,109.88,311,49,2.0,3,50,3.0,5.0,3.0,23.0,0,25
112,128.54,290,48,1.88,3,47,3.04,5.12,3.08,22.56,0,25
113,140.94,302,57,2.0,4,50,3.02,4.68,3.04,22.52,0,25
114,136.84,289,29,1.8,3,45,3.0,4.62,3.44,23.52,0,25
115,134.96,287,45,2.0,3,50,3.04,4.98,3.88,23.6,0,25
116,133.24,303,39,1.88,3,47,3.02,4.98,3.76,23.24,0,25
117,126.04,306,33,1.88,3,47,3.02,5.04,3.6,22.44,0,25
118,147.0,361,38,1.8,3,45,3.0,4.72,3.04,21.64,0,25
119,118.92,308,43,1.92,4,48,3.02,4.86,3.0,21.52,0,25
120,123.72,292,36,1.84,3,46,3.02,4.6,3.0,21.36,0,25
121,125.88,303,37,1.8,3,45,3.04,4.56,3.0,21.04,0,25
122,115.76,266,51,1.96,3,49,3.22,5.0,3.0,21.32,0,25
123,141.32,268,29,1.92,3,48,3.56,5.16,3.0,21.28,0,25
124,121.9,327,38,2.0,3,50,3.52,4.68,3.0,21.52,0,25
125,110.66,266,25,1.96,3,49,3.56,4.84,3.0,21.64,0,25
126,138.04,308,44,1.88,4,47,3.76,5.28,3.0,21.56,0,25
127,155.0,414,37,1.84,3,46,4.0,5.8,3.0,21.4,0,25
128,140.16,332,40,1.88,3,47,4.12,5.62,3.0,21.8,0,25
129,156.12,355,47,1.8,4,45,3.6,4.52,3.0,21.64,0,25
130,129.7,320,59,1.96,3,49,3.98,5.24,3.0,21.4,0,25
131,149.14,318,38,1.96,3,49,3.96,5.5,3.0,20.8,0,25
132,119.76,276,32,1.92,3,48,4.56,6.54,3.0,20.68,0,25
133,116.04,303,38,1.96,4,49,4.96,7.26,3.0,21.2,0,25
134,144.94,348,39,1.88,4,47,5.0,7.82,3.04,21.08,0,25
135,122.3,310,34,1.88,3,47,4.98,7.74,3.0,20.52,0,25
136,127.32,266,29,1.96,3,49,4.98,7.08,3.0,20.48,0,25
137,107.8,279,27,2.0,3,50,4.98,7.1,3.0,20.88,0,25
138,129.06,306,37,1.96,3,49,5.02,6.58,3.08,20.68,0,25
139,114.84,278,39,2.0,3,50,5.04,6.2,3.0,20.56,0,25
140,119.6,327,43,2.0,3,50,4.96,6.56,3.04,20.28,0,25
141,114.42,266,25,1.84,3,46,4.96,6.52,3.0,20.6,0,25
142,125.14,337,40,1.96,3,49,5.0,6.18,3.04,20.24,0,25
143,117.04,289,41,2.0,3,50,5.02,5.92,3.2,20.36,0,25
144,119.24,311,30,1.96,3,49,5.02,5.96,3.2,20.28,0,25
145,122.42,293,39,1.96,3,49,5.18,6.46,3.04,20.24,0,25
146,103.52,331,43,2.0,3,50,5.26,6.68,3.04,20.36,0,25
147,128.16,266,14,1.88,3,47,4.84,5.88,3.0,20.2,0,25
148,141.5,415,46,1.92,4,48,4.56,5.56,3.0,20.16,0,25
149,129.36,249,28,2.0,3,50,4.6,5.96,3.0,19.44,0,25
150,120.82,277,29,1.96,3,49,4.72,5.98,3.0,19.08,0,25
151,123.68,331,37,1.96,4,49,5.36,7.5,3.0,19.16,0,25
152,118.16,271,36,1.88,3,47,5.24,6.96,3.0,18.72,0,25
153,114.42,312,29,1.88,3,47,5.02,6.18,3.04,18.24,0,25
154,121.06,266,28,1.96,3,49,4.8,5.88,3.08,18.08,0,25
155,122.0,293,32,1.92,3,48,4.64,5.08,3.4,17.84,0,25
156,117.56,299,31,2.0,3,50,5.0,5.44,3.2,17.64,0,25
157,121.94,333,39,1.92,3,48,5.12,5.96,3.04,18.08,0,25
158,132.28,266,44,1.96,3,49,5.42,6.58,3.0,17.96,0,25
159,124.42,304,29,2.0,3,50,5.18,5.92,3.0,17.76,0,25
160,127.22,275,46,1.96,3,49,4.9,5.82,3.0,17.24,0,25
161,113.92,266,38,2.0,3,50,5.02,5.52,3.0,17.28,0,25
162,119.3,461,45,2.0,4,50,4.8,5.94,3.0,17.48,0,25
163,121.68,326,37,1.92,3,48,4.54,5.48,3.0,18.2,0,25
164,120.06,267,34,1.96,3,49,4.68,4.88,3.0,17.28,0,25
165,179.62,309,26,1.68,3,42,4.84,5.12,3.0,16.8,0,25
166,138.2,266,25,1.92,3,48,4.68,4.52,3.0,16.84,0,25
167,130.06,296,36,2.0,3,50,4.84,4.7,3.04,17.16,0,25
168,119.48,257,24,2.0,3,50,4.6,4.48,3.0,16.6,0,25
169,132.8,296,27,1.8,3,45,4.54,4.12,3.04,16.68,0,25
170,127.96,333,28,2.0,4,50,4.76,3.92,3.0,16.32,0,25
171,131.4,267,25,1.8,3,45,4.74,3.58,3.0,16.4,0,25
172,123.94,279,38,1.92,3,48,4.62,3.42,3.0,16.32,0,25
173,127.06,255,36,2.0,3,50,4.76,3.28,3.0,16.32,0,25
174,117.92,267,24,1.92,3,48,4.18,2.96,3.0,16.56,0,25
175,130.46,286,19,1.8,3,45,4.0,2.7,3.0,16.8,0,25
176,156.34,357,55,1.84,3,46,4.24,2.8,3.0,16.48,0,25
177,122.06,278,52,1.96,3,49,4.52,3.14,3.0,16.84,0,25
178,157.2,348,54,1.88,4,47,4.6,3.32,3.0,16.88,0,25
179,131.52,269,30,1.92,3,48,4.56,3.2,3.0,16.64,0,25
180,151.08,331,39,1.76,3,44,4.86,3.36,3.04,16.4,0,25
181,114.34,266,31,1.96,3,49,4.5,3.02,3.0,16.16,0,25
182,142.3,293,28,1.96,3,49,4.52,3.28,3.04,16.08,0,25
183,114.54,269,18,1.92,3,48,4.54,3.02,3.0,16.0,0,25
184,126.44,296,48,1.96,3,49,4.82,3.14,3.04,16.0,0,25
185,143.68,339,47,1.8,4,45,4.94,4.04,3.04,15.52,0,25
186,128.14,284,39,1.92,3,48,4.84,3.66,3.0,15.44,0,25
187,129.06,281,39,1.88,3,47,5.02,4.04,3.0,15.64,0,25
188,139.24,349,51,1.92,3,48,5.0,3.46,3.0,16.24,0,25
