generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,235.46,491,41,2.4,4,24,3.0,87.0,3.0,87.0,0,8,15246.86,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,248.56,600,33,2.5,4,25,3.0,86.52,3.0,86.5,1,5,16359.09,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,257.4,600,55,2.2,4,22,3.04,86.22,3.0,85.3,1,3,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,264.28,600,54,2.1,4,21,3.0,85.02,3.1,85.1,2,3,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,280.1,600,77,2.4,5,24,3.02,83.56,3.3,85.0,4,2,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,280.24,600,68,2.3,3,23,3.04,81.52,3.5,84.9,4,6,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,287.34,600,64,2.0,4,20,3.02,78.82,3.0,84.8,3,4,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,287.32,600,52,1.9,3,19,3.02,76.46,3.0,84.9,4,3,30244.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,308.48,600,101,1.8,3,18,3.04,74.8,3.0,84.7,6,3,44770.24,9770.29,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,334.26,600,150,1.8,3,18,3.02,71.26,3.1,84.7,8,5,44770.24,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
11,326.2,600,181,2.2,4,22,3.04,69.32,3.0,84.4,12,4,54266.52,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
12,365.32,600,205,1.8,4,18,3.02,67.26,3.0,83.4,14,3,54266.52,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
13,264.88,600,111,2.7,4,27,3.02,63.04,3.0,82.1,5,5,54266.52,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
14,351.1,600,197,2.7,4,27,3.02,60.88,3.0,83.8,13,5,54266.52,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
15,303.56,600,157,2.6,4,26,3.02,58.46,3.0,83.7,8,5,54266.52,10933.15,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
