seed,status,generations_completed,best_prey_raw_fitness,best_predator_raw_fitness,last_100_actual_window,last_100_avg_prey_survival,last_100_avg_total_kills,last_100_avg_prey_alive_end,last_100_avg_pred_alive_end,last_100_avg_total_food,last_100_zero_prey_generations,last_100_predator_death_generations,last_100_avg_prey_nodes,last_100_avg_prey_connections,last_100_avg_pred_nodes,last_100_avg_pred_connections,last_100_balance_score,last_50_actual_window,last_50_avg_prey_survival,last_50_avg_total_kills,last_50_avg_prey_alive_end,last_50_avg_pred_alive_end,last_50_avg_total_food,last_50_zero_prey_generations,last_50_predator_death_generations,last_50_avg_prey_nodes,last_50_avg_prey_connections,last_50_avg_pred_nodes,last_50_avg_pred_connections,last_50_balance_score,last_20_actual_window,last_20_avg_prey_survival,last_20_avg_total_kills,last_20_avg_prey_alive_end,last_20_avg_pred_alive_end,last_20_avg_total_food,last_20_zero_prey_generations,last_20_predator_death_generations,last_20_avg_prey_nodes,last_20_avg_prey_connections,last_20_avg_pred_nodes,last_20_avg_pred_connections,last_20_balance_score,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
0,COMPLETED,500,66974.235,29700.396,100,264.408,40.73,2.18,9.02,199.44,26,67,3.24,3.525,5.601,31.926,-41.411,50,266.331,40.82,2.36,9.06,205.66,11,34,3.278,3.931,5.12,29.35,-17.63,20,267.571,40.45,2.7,8.8,205.2,2,17,3.476,4.443,5.02,29.325,0.683,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
1,COMPLETED,500,68828.763,28594.804,100,270.837,40.49,2.61,8.92,202.13,17,65,4.733,6.175,4.14,40.313,-23.116,50,268.643,40.76,2.52,9.02,201.28,9,31,5.254,6.816,4.306,39.488,-13.002,20,270.409,41.05,2.6,9.05,202.25,3,12,6.094,8.687,3.965,37.805,-3.985,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,COMPLETED,500,63650.174,30511.583,100,268.25,40.88,2.3,8.96,198.46,24,68,3.728,4.529,3.843,35.947,-37.278,50,264.887,41.42,2.0,9.1,197.52,13,32,3.154,3.356,3.936,35.53,-25.145,20,269.547,41.55,2.25,9.1,199.6,4,14,3.036,3.336,4.245,33.87,-9.631,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,COMPLETED,500,67435.506,29980.812,100,263.673,40.56,1.67,8.77,192.03,32,75,5.571,5.896,4.315,34.675,-53.086,50,264.158,40.52,1.78,8.68,192.88,12,40,6.676,6.344,4.982,34.43,-21.835,20,260.528,40.65,1.6,8.65,189.0,4,16,7.404,6.734,4.945,31.915,-11.944,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,COMPLETED,500,71177.502,29744.223,100,268.064,40.01,2.4,8.72,196.84,22,74,3.231,3.21,5.115,30.792,-30.58,50,271.667,39.88,2.46,8.76,197.94,8,35,3.22,3.243,5.0,27.384,-8.838,20,272.112,39.8,2.3,8.75,199.45,2,14,3.112,3.045,5.0,26.115,-0.855,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
